time_period,rainfall,mean_temperature,disease_cases,population,location
2019-11,398.656,16.41,411,608703,rNmqHqUm4Cf
2019-12,562.086,16.37,525,608703,rNmqHqUm4Cf
2020-01,294.992,17.15,590,534803.21,rNmqHqUm4Cf
2020-02,472.771,17.43,625,533342,rNmqHqUm4Cf
2020-03,487.067,17.38,421,534803.21,rNmqHqUm4Cf
2020-04,310.7,17.02,338,534803.21,rNmqHqUm4Cf
2020-05,120.428,16.95,347,534803.21,rNmqHqUm4Cf
2020-06,66.261,16.71,280,534803.21,rNmqHqUm4Cf
2020-07,48.523,16.7,197,534803.21,rNmqHqUm4Cf
2020-08,201.267,17.58,227,534803.21,rNmqHqUm4Cf
2020-09,263.017,17,282,534803.21,rNmqHqUm4Cf
2020-10,298.392,16.65,215,534803.21,rNmqHqUm4Cf
2020-11,369.993,16.31,209,534803.21,rNmqHqUm4Cf
2020-12,356.186,16.49,218,534803.21,rNmqHqUm4Cf
2021-01,226.028,16.48,101,589696,rNmqHqUm4Cf
2021-02,170.898,17.41,154,589696,rNmqHqUm4Cf
2021-03,223.584,16.89,220,589696,rNmqHqUm4Cf
2021-04,194.569,16.41,252,589696,rNmqHqUm4Cf
2021-05,175.9,16.62,413,589696,rNmqHqUm4Cf
2021-06,23.401,16.5,520,589696,rNmqHqUm4Cf
2021-07,24.532,16.93,386,589696,rNmqHqUm4Cf
2021-08,138.341,17.04,320,589696,rNmqHqUm4Cf
2021-09,222.231,16.73,429,589696,rNmqHqUm4Cf
2021-10,362.062,17.04,523,589696,rNmqHqUm4Cf
2021-11,213.163,16.82,817,589696,rNmqHqUm4Cf
2021-12,203.742,16.72,873,589696,rNmqHqUm4Cf
2022-01,125.274,16.97,365,653912,rNmqHqUm4Cf
2022-02,172.569,16.77,362,653912,rNmqHqUm4Cf
2022-03,295.218,17.23,250,653912,rNmqHqUm4Cf
2022-04,323.83,16.69,379,653912,rNmqHqUm4Cf
2022-05,137.556,16.54,309,653912,rNmqHqUm4Cf
2022-06,10.184,16,342,653912,rNmqHqUm4Cf
2022-07,69.27,16.76,304,653912,rNmqHqUm4Cf
2022-08,246.726,16.52,307,653912,rNmqHqUm4Cf
2022-09,274.1,16.24,324,653912,rNmqHqUm4Cf
2022-10,135.213,17.08,389,653912,rNmqHqUm4Cf
2022-11,400.634,15.95,600,653912,rNmqHqUm4Cf
2022-12,312.453,15.72,530,653912,rNmqHqUm4Cf
2023-01,148.547,16.21,493,595729,rNmqHqUm4Cf
2023-02,239.304,16.97,692,595729,rNmqHqUm4Cf
2023-03,534.568,16.21,605,595729,rNmqHqUm4Cf
2023-04,267.036,16.33,682,595729,rNmqHqUm4Cf
2023-05,127.13,17.1,624,595729,rNmqHqUm4Cf
2023-06,64.121,17,464,595729,rNmqHqUm4Cf
2023-07,12.767,17.3,351,595729,rNmqHqUm4Cf
2023-08,11.66,18.51,384,595729,rNmqHqUm4Cf
2023-09,319.011,16.99,749,595729,rNmqHqUm4Cf
2023-10,225.836,17.12,836,595729,rNmqHqUm4Cf
2023-11,370.699,16.04,1011,595729,rNmqHqUm4Cf
2023-12,481.276,16.86,749,595729,rNmqHqUm4Cf
2024-01,167.129,17.3,846,572938.41,rNmqHqUm4Cf
2024-02,228.664,17.47,804,571373,rNmqHqUm4Cf
2024-03,264.808,17.76,675,572938.41,rNmqHqUm4Cf
2024-04,379.02,17.13,662,572938.41,rNmqHqUm4Cf
2024-05,290.367,17.61,561,572938.41,rNmqHqUm4Cf
2024-06,16.962,17.36,622,572938.41,rNmqHqUm4Cf
2024-07,81.531,17.94,654,572938.41,rNmqHqUm4Cf
2024-08,69.926,17.98,826,572938.41,rNmqHqUm4Cf
2024-09,119.719,17.86,802,572938.41,rNmqHqUm4Cf
2024-10,344.049,16.91,1007,572938.41,rNmqHqUm4Cf
2024-11,487.736,16.38,1265,572938.41,rNmqHqUm4Cf
2024-12,304.376,16.56,1503,572938.41,rNmqHqUm4Cf
2015-01,32.139,20.95,7228,760097,N9pKxz10nwa
2015-02,69.112,20.79,6280,760097,N9pKxz10nwa
2015-03,132.17,20.4,3214,760097,N9pKxz10nwa
2015-04,149.938,19.45,1666,760097,N9pKxz10nwa
2015-05,78.139,19.86,2010,760097,N9pKxz10nwa
2015-06,7.68,20.56,6022,760097,N9pKxz10nwa
2015-07,1.763,21.31,3863,760097,N9pKxz10nwa
2015-08,1.222,22.31,3445,760097,N9pKxz10nwa
2015-09,49.15,21.75,8418,760097,N9pKxz10nwa
2015-10,191.077,20.22,23406,760097,N9pKxz10nwa
2015-11,158.148,19.51,21098,760097,N9pKxz10nwa
2015-12,103,20.02,26728,760097,N9pKxz10nwa
2016-01,79.341,20.94,19340,817165.69,N9pKxz10nwa
2016-02,58.4,21.69,14767,814933,N9pKxz10nwa
2016-03,81.281,21.46,16601,817165.69,N9pKxz10nwa
2016-04,238.912,19.97,16482,817165.69,N9pKxz10nwa
2016-05,27.462,20.38,9226,817165.69,N9pKxz10nwa
2016-06,1.188,20.46,5926,817165.69,N9pKxz10nwa
2016-07,0.226,21.52,2681,817165.69,N9pKxz10nwa
2016-08,9.706,22.09,2680,817165.69,N9pKxz10nwa
2016-09,55.045,22.31,7380,817165.69,N9pKxz10nwa
2016-10,127.068,20.89,17901,817165.69,N9pKxz10nwa
2016-11,138.011,19.57,46603,817165.69,N9pKxz10nwa
2016-12,75.739,19.7,23979,817165.69,N9pKxz10nwa
2017-01,46.406,20.95,11343,866757,N9pKxz10nwa
2017-02,100.801,20.28,6988,866757,N9pKxz10nwa
2017-03,132.318,20.12,6130,866757,N9pKxz10nwa
2017-04,119.141,19.58,6469,866757,N9pKxz10nwa
2017-05,92.546,19.57,10531,866757,N9pKxz10nwa
2017-06,1.892,20.65,18309,866757,N9pKxz10nwa
2017-07,0.9,21.73,16547,866757,N9pKxz10nwa
2017-08,20.429,21.78,15182,866757,N9pKxz10nwa
2017-09,65.665,21.14,28825,866757,N9pKxz10nwa
2017-10,89.073,20.74,49421,866757,N9pKxz10nwa
2017-11,104.698,19.68,41623,866757,N9pKxz10nwa
2017-12,114.955,20.03,14093,866757,N9pKxz10nwa
2018-01,118.384,19.82,7965,863902,N9pKxz10nwa
2018-02,52.412,20.89,6357,863902,N9pKxz10nwa
2018-03,180.907,19.96,6147,863902,N9pKxz10nwa
2018-04,307.442,19.15,2857,863902,N9pKxz10nwa
2018-05,70.819,19.34,3297,863902,N9pKxz10nwa
